antecedent,consequent,support,confidence,lift
"DOLLY GIRL CHILDRENS CUP, SPACEBOY CHILDRENS BOWL",DOLLY GIRL CHILDRENS BOWL,0.005810488676996424,0.9590163934426229,101.10342459874688
DOLLY GIRL CHILDRENS BOWL,"DOLLY GIRL CHILDRENS CUP, SPACEBOY CHILDRENS BOWL",0.005810488676996424,0.6125654450261779,101.10342459874687
CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE HEART DECORATION,0.00546285260230433,0.88,98.44266666666667
CHRISTMAS TREE HEART DECORATION,CHRISTMAS TREE DECORATION WITH BELL,0.00546285260230433,0.611111111111111,98.44266666666665
DOLLY GIRL CHILDRENS CUP,"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS CUP",0.005512514898688915,0.5692307692307693,97.13585397653196
"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS CUP",DOLLY GIRL CHILDRENS CUP,0.005512514898688915,0.940677966101695,97.13585397653195
"RED VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",GREEN VINTAGE SPOT BEAKER,0.005065554231227652,0.8429752066115703,91.75215546124637
GREEN VINTAGE SPOT BEAKER,"RED VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",0.005065554231227652,0.5513513513513514,91.75215546124637
"BLUE VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",PINK VINTAGE SPOT BEAKER,0.005711164084227255,0.8518518518518519,89.80570098894707
PINK VINTAGE SPOT BEAKER,"BLUE VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",0.005711164084227255,0.6020942408376964,89.80570098894707
"PACK OF 6 SKULL PAPER CUPS, PACK OF 20 SKULL PAPER NAPKINS",PACK OF 6 SKULL PAPER PLATES,0.005065554231227652,0.8571428571428572,89.42709104367135
PACK OF 6 SKULL PAPER PLATES,"PACK OF 6 SKULL PAPER CUPS, PACK OF 20 SKULL PAPER NAPKINS",0.005065554231227652,0.5284974093264249,89.42709104367135
PACK OF 6 SKULL PAPER CUPS,"PACK OF 6 SKULL PAPER PLATES, PACK OF 20 SKULL PAPER NAPKINS",0.005065554231227652,0.5964912280701755,87.67114867460624
"PACK OF 6 SKULL PAPER PLATES, PACK OF 20 SKULL PAPER NAPKINS",PACK OF 6 SKULL PAPER CUPS,0.005065554231227652,0.7445255474452556,87.67114867460623
"SPACEBOY CHILDRENS CUP, DOLLY GIRL CHILDRENS CUP",DOLLY GIRL CHILDRENS BOWL,0.005512514898688915,0.8222222222222222,86.68202443280977
DOLLY GIRL CHILDRENS BOWL,"SPACEBOY CHILDRENS CUP, DOLLY GIRL CHILDRENS CUP",0.005512514898688915,0.581151832460733,86.68202443280977
"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS CUP",SPACEBOY CHILDRENS BOWL,0.005363528009535161,0.9152542372881356,86.11943608427056
SPACEBOY CHILDRENS BOWL,"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS CUP",0.005363528009535161,0.5046728971962617,86.11943608427056
"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS BOWL",DOLLY GIRL CHILDRENS CUP,0.005810488676996424,0.8297872340425532,85.68510638297873
DOLLY GIRL CHILDRENS CUP,"DOLLY GIRL CHILDRENS BOWL, SPACEBOY CHILDRENS BOWL",0.005810488676996424,0.6,85.68510638297872
CHRISTMAS TREE DECORATION WITH BELL,CHRISTMAS TREE STAR DECORATION,0.005164878823996822,0.832,84.6118787878788
CHRISTMAS TREE STAR DECORATION,CHRISTMAS TREE DECORATION WITH BELL,0.005164878823996822,0.5252525252525253,84.6118787878788
"BLUE VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",RED VINTAGE SPOT BEAKER,0.0055621771950735005,0.8296296296296297,84.37081930415265
RED VINTAGE SPOT BEAKER,"BLUE VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",0.0055621771950735005,0.5656565656565657,84.37081930415265
"DOTCOM POSTAGE, CHRISTMAS TREE HEART DECORATION",CHRISTMAS TREE STAR DECORATION,0.005512514898688915,0.8283582089552239,84.2415196743555
CHRISTMAS TREE STAR DECORATION,"DOTCOM POSTAGE, CHRISTMAS TREE HEART DECORATION",0.005512514898688915,0.5606060606060607,84.2415196743555
"RED VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",PINK VINTAGE SPOT BEAKER,0.005065554231227652,0.7968750000000001,84.00981675392671
PINK VINTAGE SPOT BEAKER,"RED VINTAGE SPOT BEAKER, GREEN VINTAGE SPOT BEAKER",0.005065554231227652,0.5340314136125655,84.0098167539267
BLUE VINTAGE SPOT BEAKER,"RED VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",0.0055621771950735005,0.5045045045045046,83.95622068349343
"RED VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",BLUE VINTAGE SPOT BEAKER,0.0055621771950735005,0.9256198347107438,83.95622068349341
"DOTCOM POSTAGE, CHRISTMAS TREE STAR DECORATION",CHRISTMAS TREE HEART DECORATION,0.005512514898688915,0.75,83.9
CHRISTMAS TREE HEART DECORATION,"DOTCOM POSTAGE, CHRISTMAS TREE STAR DECORATION",0.005512514898688915,0.6166666666666667,83.9
HERB MARKER CHIVES,"HERB MARKER PARSLEY, HERB MARKER MINT",0.009088200238379023,0.8755980861244019,83.16529746321207
"HERB MARKER PARSLEY, HERB MARKER MINT",HERB MARKER CHIVES,0.009088200238379023,0.8632075471698114,83.16529746321207
"BLUE VINTAGE SPOT BEAKER, RED VINTAGE SPOT BEAKER",GREEN VINTAGE SPOT BEAKER,0.0055621771950735005,0.7619047619047619,82.92818532818532
GREEN VINTAGE SPOT BEAKER,"BLUE VINTAGE SPOT BEAKER, RED VINTAGE SPOT BEAKER",0.0055621771950735005,0.6054054054054054,82.92818532818532
"GREEN VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",BLUE VINTAGE SPOT BEAKER,0.005711164084227255,0.9126984126984127,82.78421278421278
BLUE VINTAGE SPOT BEAKER,"GREEN VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",0.005711164084227255,0.5180180180180181,82.78421278421278
HERB MARKER CHIVES,"HERB MARKER THYME, HERB MARKER PARSLEY",0.009088200238379023,0.8755980861244019,82.77485005728148
"HERB MARKER THYME, HERB MARKER PARSLEY",HERB MARKER CHIVES,0.009088200238379023,0.8591549295774648,82.77485005728148
SET/6 COLLAGE PAPER CUPS,SET/6 COLLAGE PAPER PLATES,0.007995629717918156,0.8895027624309393,82.53929780787739
SET/6 COLLAGE PAPER PLATES,SET/6 COLLAGE PAPER CUPS,0.007995629717918156,0.7419354838709677,82.53929780787739
PACK OF 6 SKULL PAPER CUPS,PACK OF 6 SKULL PAPER PLATES,0.006704410011918951,0.7894736842105263,82.36705754022361
PACK OF 6 SKULL PAPER PLATES,PACK OF 6 SKULL PAPER CUPS,0.006704410011918951,0.699481865284974,82.3670575402236
"GREEN VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",RED VINTAGE SPOT BEAKER,0.005065554231227652,0.8095238095238095,82.32611832611833
RED VINTAGE SPOT BEAKER,"GREEN VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",0.005065554231227652,0.5151515151515152,82.32611832611833
"HERB MARKER THYME, HERB MARKER MINT",HERB MARKER CHIVES,0.00874056416368693,0.854368932038835,82.31374552887073
HERB MARKER CHIVES,"HERB MARKER THYME, HERB MARKER MINT",0.00874056416368693,0.8421052631578948,82.31374552887073
DOLLY GIRL CHILDRENS BOWL,DOLLY GIRL CHILDRENS CUP,0.007548669050456893,0.7958115183246073,82.17672170761176
DOLLY GIRL CHILDRENS CUP,DOLLY GIRL CHILDRENS BOWL,0.007548669050456893,0.7794871794871795,82.17672170761176
HERB MARKER CHIVES,"HERB MARKER ROSEMARY, HERB MARKER PARSLEY",0.009088200238379023,0.8755980861244019,82.00485145209748
"HERB MARKER ROSEMARY, HERB MARKER PARSLEY",HERB MARKER CHIVES,0.009088200238379023,0.8511627906976744,82.00485145209748
"HERB MARKER ROSEMARY, HERB MARKER CHIVES",HERB MARKER PARSLEY,0.009088200238379023,0.9682539682539683,81.91916766706682
"HERB MARKER THYME, HERB MARKER CHIVES",HERB MARKER PARSLEY,0.009088200238379023,0.9682539682539683,81.91916766706682
HERB MARKER PARSLEY,"HERB MARKER ROSEMARY, HERB MARKER CHIVES",0.009088200238379023,0.76890756302521,81.91916766706682
HERB MARKER PARSLEY,"HERB MARKER THYME, HERB MARKER CHIVES",0.009088200238379023,0.76890756302521,81.91916766706682
"HERB MARKER ROSEMARY, HERB MARKER CHIVES",HERB MARKER THYME,0.009038537941994438,0.962962962962963,81.81528363806845
HERB MARKER THYME,"HERB MARKER ROSEMARY, HERB MARKER CHIVES",0.009038537941994438,0.7679324894514769,81.81528363806845
"BLUE VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",GREEN VINTAGE SPOT BEAKER,0.005711164084227255,0.7516339869281046,81.81028086910439
GREEN VINTAGE SPOT BEAKER,"BLUE VINTAGE SPOT BEAKER, PINK VINTAGE SPOT BEAKER",0.005711164084227255,0.6216216216216216,81.81028086910439
"HERB MARKER MINT, HERB MARKER CHIVES",HERB MARKER PARSLEY,0.009088200238379023,0.963157894736842,81.48801415302962
HERB MARKER PARSLEY,"HERB MARKER CHIVES, HERB MARKER MINT",0.009088200238379023,0.76890756302521,81.48801415302962
"HERB MARKER BASIL, HERB MARKER CHIVES",HERB MARKER PARSLEY,0.008690901867302344,0.9615384615384615,81.35100193923722
HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER CHIVES",0.008690901867302344,0.7352941176470588,81.35100193923722
"HERB MARKER THYME, HERB MARKER CHIVES",HERB MARKER ROSEMARY,0.009038537941994438,0.962962962962963,80.7925925925926
HERB MARKER ROSEMARY,"HERB MARKER THYME, HERB MARKER CHIVES",0.009038537941994438,0.7583333333333334,80.7925925925926
