itemset,support
"JUMBO BAG RED RETROSPOT, JUMBO BAG PINK POLKADOT",0.04097139451728248
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.03814064362336114
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",0.03595550258243941
"JUMBO BAG RED RETROSPOT, JUMBO SHOPPER VINTAGE RED PAISLEY",0.03377036154151768
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",0.03183353198251887
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",0.03178386968613429
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.031436233611442196
"LUNCH BAG RED RETROSPOT, LUNCH BAG PINK POLKADOT",0.030095351609058404
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.02974771553436631
"JUMBO  BAG BAROQUE BLACK WHITE, JUMBO BAG RED RETROSPOT",0.029052443384982123
"JUMBO BAG RED RETROSPOT, LUNCH BAG RED RETROSPOT",0.02875446960667461
"LUNCH BAG RED RETROSPOT, LUNCH BAG SPACEBOY DESIGN",0.027810885975367503
"LUNCH BAG RED RETROSPOT, LUNCH BAG SUKI DESIGN",0.027612236789829162
"LUNCH BAG RED RETROSPOT, LUNCH BAG CARS BLUE",0.02751291219705999
"PAPER CHAIN KIT VINTAGE CHRISTMAS, PAPER CHAIN KIT 50'S CHRISTMAS",0.027413587604290822
"GARDENERS KNEELING PAD CUP OF TEA, GARDENERS KNEELING PAD KEEP CALM",0.027115613825983313
"JUMBO BAG RED RETROSPOT, JUMBO BAG APPLES",0.027115613825983313
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",0.027016289233214145
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.026916964640444973
"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",0.02676797775129122
"SPACEBOY LUNCH BOX, DOLLY GIRL LUNCH BOX",0.026718315454906636
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",0.02666865315852205
"JUMBO BAG RED RETROSPOT, JUMBO BAG WOODLAND ANIMALS",0.026569328565752882
"LUNCH BAG RED RETROSPOT, LUNCH BAG WOODLAND",0.02612236789829162
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.026072705601907033
"JUMBO STORAGE BAG SUKI, JUMBO SHOPPER VINTAGE RED PAISLEY",0.026023043305522447
"RED RETROSPOT CHARLOTTE BAG, CHARLOTTE BAG PINK POLKADOT",0.02592371871275328
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",0.02592371871275328
"JUMBO BAG RED RETROSPOT, JUMBO BAG PINK VINTAGE PAISLEY",0.025725069527214938
"JUMBO STORAGE BAG SUKI, JUMBO BAG PINK POLKADOT",0.025576082638061184
"LUNCH BAG  BLACK SKULL., LUNCH BAG SUKI DESIGN",0.025576082638061184
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",0.02542709574890743
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.025278108859753675
"RED RETROSPOT CHARLOTTE BAG, CHARLOTTE BAG SUKI DESIGN",0.025178784266984507
"RED RETROSPOT CHARLOTTE BAG, WOODLAND CHARLOTTE BAG",0.02512912197059992
"LUNCH BAG PINK POLKADOT, LUNCH BAG CARS BLUE",0.02493047278506158
"WHITE HANGING HEART T-LIGHT HOLDER, RED HANGING HEART T-LIGHT HOLDER",0.02458283671036949
"HEART OF WICKER SMALL, HEART OF WICKER LARGE",0.024483512117600317
"LUNCH BAG RED RETROSPOT, LUNCH BAG APPLE DESIGN",0.02418553833929281
